X1;X2;value
MP2;MP4;NA
MP3;MP4;NA
MP4;MP4;NA
MP5;MP4;0.3345143
MP6;MP4;0.6966785
MP7;MP4;0.5774871
MD2;MP5;NA
MD3;MP5;NA
MD4;MP5;NA
MD5;MP5;NA
MD6;MP5;NA
MD7;MP5;NA
MD8;MP5;NA
MD9;MP5;NA
MD10;MP5;NA
MD11;MP5;NA
MP1;MP5;NA
MP2;MP5;NA
MP3;MP5;NA
MP4;MP5;NA
MP5;MP5;NA
MP6;MP5;0.57421672
MP7;MP5;0.74464223
MD2;MP6;NA
MD3;MP6;NA
MD4;MP6;NA
MD5;MP6;NA
MD6;MP6;NA
MD7;MP6;NA
MD8;MP6;NA
MD9;MP6;NA
MD10;MP6;NA
MD11;MP6;NA
MP1;MP6;NA
MP2;MP6;NA
MP3;MP6;NA
MP4;MP6;NA
MP5;MP6;NA
MP6;MP6;NA
MP7;MP6;0.8783946
